Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay,Hour,DayOfWeek,Month,Efficiency_Ratio,Has_Delay_Reason,Traffic_Level,Inventory_Category
2024-03-20 00:11:14,Truck_7,-65.7383,11.2497,390,0,27.0,67.8,1,38,320,4,2,60.1,285,1,0,Wednesday,3,0.7307692307692307,1,High,High
2024-10-30 07:53:51,Truck_6,22.2748,-131.7086,491,2,22.5,54.3,2,16,439,7,3,80.9,174,1,7,Wednesday,10,0.3543788187372709,1,High,High
2024-07-29 18:42:48,Truck_10,54.9232,79.5455,190,2,25.2,62.2,1,34,355,3,2,99.2,260,0,18,Monday,7,1.368421052631579,1,High,Low
2024-10-28 00:50:54,Truck_9,42.39,-1.4788,330,1,25.4,52.3,2,37,227,5,1,97.4,160,1,0,Monday,10,0.48484848484848486,1,High,Medium
2024-09-27 15:52:58,Truck_7,-65.8477,47.9468,480,0,20.5,57.2,0,56,197,6,2,71.6,270,1,15,Friday,9,0.5625,1,High,High
2024-09-17 06:02:15,Truck_7,73.3312,46.5831,118,2,24.3,61.8,0,56,258,10,2,66.8,189,0,6,Tuesday,9,1.6016949152542372,1,High,Low
2024-02-05 08:38:56,Truck_4,27.9307,147.5317,480,0,20.7,75.4,0,32,263,3,2,73.3,198,1,8,Monday,2,0.4125,1,High,High
2024-09-28 09:08:23,Truck_9,46.5643,-126.5348,222,2,23.3,64.2,1,30,459,9,1,73.8,253,0,9,Saturday,9,1.1396396396396395,1,High,Medium
2024-01-18 08:27:04,Truck_9,-83.6737,-31.7125,245,1,26.4,77.2,0,14,183,2,2,69.6,206,0,8,Thursday,1,0.8408163265306122,1,High,Medium
2024-11-09 00:48:26,Truck_2,54.1683,-135.2676,389,2,21.9,57.3,0,52,127,7,0,63.1,224,0,0,Saturday,11,0.5758354755784062,1,High,High
2024-01-09 23:19:43,Truck_9,82.9633,-154.5274,319,0,22.0,53.5,0,28,360,4,2,69.8,171,1,23,Tuesday,1,0.5360501567398119,1,High,Medium
2024-02-02 22:28:16,Truck_10,-25.2768,156.1262,234,1,29.7,63.6,1,13,406,10,1,85.5,238,0,22,Friday,2,1.017094017094017,1,High,Medium
2024-02-17 21:14:42,Truck_8,-65.526,-3.0202,154,2,21.5,74.2,1,38,215,3,3,84.4,114,0,21,Saturday,2,0.7402597402597403,1,High,Low
